ID;Nom;Ville;Adresse;CP;Secteur;Type;Tel;Email
1;TechSolutions;Paris;10 rue du Code;75001;Informatique;SARL;0145678913;contact@techsolutions.fr
2;DataCorp;Lyon;25 avenue des Sciences;69002;Analyse de données;SAS;0478912346;info@datacorp.fr
3;WebInnovate;Marseille;8 rue du Port;13002;Développement Web;SARL;0491234568;contact@webinnovate.fr
4;AI Systems;Toulouse;42 allée des Startups;31000;Intelligence Artificielle;SA;0562347890;contact@aisystems.fr
5;SAINT-GOBAIN SULLY ;SULLY-SUR-LOIRE;16 route d'Isdes;45600;NC;NC;;
6;Entreprise inconnue;Ville inconnue;Adresse inconnue;00000;NC;NC;;
7;Entreprise inconnue;Ville inconnue;Adresse inconnue;00000;NC;NC;;
8;Entreprise inconnue;Ville inconnue;Adresse inconnue;00000;NC;NC;;
9; 1456789230;Ville inconnue; ;00000;NC;NC;;
10;Epastelsoft;Champs-Sur-Marne;2 B RUE ALFRED NOBEL;77420;NC;NC;;
11;Iut Orléans;Orléans Cedex 2;16 rue d'Issoudun;45067;NC;NC;;
12;Chartres Métropole Innovations Numériques (Cm'In);Chartres;Place des Halles;28000;NC;NC;;
13;Leroy Somer Moteurs;Angoulème Cedex;Boulevard Marcellin Leroy;16015;NC;NC;;
14;Legabase;Lyon;40 Avenue Felix Faure;69003;NC;NC;;
15;Loging Sas Groupe Adhara;Saran;33 rue de l'Olivier;45770;NC;NC;;
16;Ergosante;Anduze;28 ZA DE Labahou;30140;NC;NC;;
17;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
18;Centre Hospitalier Regional D'Orleans;Orléans;14 avenue de l'Hôpital CS 86709;45100;NC;NC;;
19;Hutchinson;Chalette Sur Loing;BP - 31 RUE GUSTAVE NOURRY;45120;NC;NC;;
20;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
21;Sodilec;Brinon-Sur-Sauldre;ZA les Pointards 2 Chemin des Bouleaux;18410;NC;NC;;
22;Uxen;Orléans;7 rue Vieille Levée;45100;NC;NC;;
23;Julien Mialon;La Madelaine;84 rue de la paix;59110;NC;NC;;
24;Insee;Orléans;131 rue du Faubourg Bannier  Cité administrative Coligny;45000;NC;NC;;
25;Systèmes Et Connectique Du Mans (Scm);Allonne;ZAC Du Monn Rue du Champ du Verger;72700;NC;NC;;
26;Covea;Paris;86 rue Saint Lazare;75009;NC;NC;;
27;Helyx;Nantes;28 BOULEVARD BENONI GOULIN;44200;NC;NC;;
28;E-Declic;Brech;32 Rue du Danemark Porte Oceane 2;56400;NC;NC;;
29;Haisoft;Orléans;7 rue Vieille Levée;45100;NC;NC;;
30;Thales Air Systems Sas;Fleury-Les-Aubrais;29 rue de Montaran;45400;NC;NC;;
31;Pole Emploi;La Chapelle Saint-Mesmin;53 bis route d'orléans;45380;NC;NC;;
32;Conseil Departemental Du Loiret;Orléans;15 RUE Eugène Vignat;45000;NC;NC;;
33;Lvmh Recherche;Saint-Jean-De-Braye;185 AV DE VERDUN;45800;NC;NC;;
34;Ephesia Consult Sas;Besançon;123 Grande Rue;25000;NC;NC;;
35;Statigest;Alfortville;71 rue Etienne Dolet; 9414;NC;NC;;
36;Département De La Vienne;Poitiers;Place Aristide Briand;86000;NC;NC;;
37;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
38;Laboratoire Ligérien De Linguistique;Orléans;UFR Lettres Langues et Sciences Humain 10 rue de Tours;45065;NC;NC;;
39;Etablissement Public De Sante Mentale Du Loiret Georges Daumézon;Fleury Les Aubrais;1 route de Chanteau BP 62016;45402;NC;NC;;
40;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
41;Conseil Departemental Du Loiret;Orléans;15 RUE Eugène Vignat;45000;NC;NC;;
42;Observatoire De L'Economie Et Des Territpores;Blois;34 avenue du Mal Maunoury;41000;NC;NC;;
43;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
44;Nexter Munitions;Bourges;7 ROUTE DE GUERRY CS 90328;18023;NC;NC;;
45;Antea Group;Olivet Cedex;803 boulevard Duhamel du Monceau Z.A.C. du Moulin;45166;NC;NC;;
46;Sncf Réseau;Saint-Denis;15 Rue Jean Philippe Rameau;93200;NC;NC;;
47;Bpdl;Berchères Sur Vesgre;2 rue du marronnier;28260;NC;NC;;
48;Atelier Du Logiciel (A.D.L);Plaisir;4 Allée des Cedres;78370;NC;NC;;
49;Centre Hospitalier Pierre Dezarnaulds;Gien Cedex;2 avenue Jean Villejean   BP89;45503;NC;NC;;
50;Batiment 3Ia Service Astn/Lll;Orléans;6 rue Léonard de Vinci;45065;NC;NC;;
51;Unité D'Orléans - Saran;Fleury-Les-Aubrais;La Foulonnerie 1 rue John Deere;45400;NC;NC;;
52;Laboratoire Prisme;Orléans;8 rue Léonard de Vinci;45072;NC;NC;;
53;Glowme;Meru;14 B RUE CHARLES BOUDEVILLE;60110;NC;NC;;
54;C.N.R.S. - Laboratoire De Physique Et De Chimie De L'Environnement Et De L'Espace (L.P.C.2.E.);Orléans;Délégation Centre Poitou-Charentes 3A avenue de la Recherche Scientifique;45071;NC;NC;;
55;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
56;Darva;Chauray;245 Rue du Stade;79180;NC;NC;;
57;C.N.R.S. - Laboratoire De Physique Et De Chimie De L'Environnement Et De L'Espace (L.P.C.2.E.);Orléans;Délégation Centre Poitou-Charentes 3A avenue de la Recherche Scientifique;45071;NC;NC;;
58;Arval Fleet Services;Paris;1 Boulevard Haussman;75009;NC;NC;;
59;Orléans Nord Immobilier;Saint Jean De Braye;10 Passage de l'Hôtel de Ville;45800;NC;NC;;
60;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
61;Dreal Centre-Val De Loire/Smt/Dtrv/Uapge;Orleans Cedex 2;5 Avenue BUFFON;45064;NC;NC;;
62;P.C.R.H;Orléans;1 rue Michel Royer;45100;NC;NC;;
63;Lifo;Orléans;6 avenue Léonard de Vinci;45067;NC;NC;;
64;Achille Solutions;Orléans;1 Avenue du champ de mars;45100;NC;NC;;
65;Welabz Sas;Orléans;7 rue des Lavandières;45100;NC;NC;;
66;O'Petit Prix;Orléans;1 rue jean louvet;45000;NC;NC;;
67;Groupe Bernier;Olivet;540 RUE DE LA BERGERESSE;45160;NC;NC;;
68;4Ware Software;Saint-Jean-De-Braye;30 RUE DU PETIT VOMIMBERT;45800;NC;NC;;
69;Rex-Rotary;Saran;73 rue des sables de sary;45770;NC;NC;;
70;Coopérative Agricole Fruitière Maraichère La Melba;Bouleternere;Avenue Maréchal Joffre;66130;NC;NC;;
71;3Za Intech;Orléans;1 avenue du Champ de Mars;45100;NC;NC;;
72;Amap Malakoff Humanis;Saran;303 rue Gabriel Debacq;45770;NC;NC;;
73;Etablissement Public De Sante Mentale Du Loiret Georges Daumézon;Fleury Les Aubrais;1 route de Chanteau BP 62016;45402;NC;NC;;
74;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
75;Xcph Organisation;Orleans;19 RUE JEAN MOULIN;45100;NC;NC;;
76;Valeo Comfort And Driving Assistance;Créteil;6 rue Daniel Costantini;94000;NC;NC;;
77;Ordipro 72;Le Mans;101 Rue de Valence;72000;NC;NC;;
78;Lifo;Orléans;6 avenue Léonard de Vinci;45067;NC;NC;;
79;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
80;St Microelectronics Sas;Tours;10 rue Thalès de Milet CS 97155;37100;NC;NC;;
81;C.N.R.S.;Paris Cedex 16;3 rue Michel Ange;75794;NC;NC;;
82;Paulstra Hutchinson;Chateaudun Cedex;26 boulevard de Périgondas;28207;NC;NC;;
83;Redex;Ferrieres-En-Gatinais;1 rue Paul Defontenay;45210;NC;NC;;
84;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
85;Secrétariat Général De La Défense Et De La Sécurité Nationale;Paris;51 boulevard de la Tour Maubourg;75007;NC;NC;;
86;Systemes Information Harmonie Mutuelle;Paris;143 rue Blomet;75015;NC;NC;;
87;Kalonys;Vallauris;15 rue François Blanc;06220;NC;NC;;
88;Sitti Youlead;Parcay Meslay;R EMILE DEWOITINE PARC ACTIVITES LE PAPILLON;37210;NC;NC;;
89;S.D.I.S. Du Loiret;Fleury Les Aubrais Cedex;195 rue de la Gourdonnerie;45404;NC;NC;;
90;Acd;Tours;18 rue de la Milletière Bâtiment Mermoz;37100;NC;NC;;
